,RAW_DATA,Time
110,1147355.00,1666715994.3418245
111,1147405.00,1666715994.3537667
112,1147417.00,1666715994.3667533
113,1147431.00,1666715994.3787236
114,1147141.00,1666715994.3916655
115,1147499.00,1666715994.4036329
116,1147526.00,1666715994.4166195
117,1147993.00,1666715994.4285653
118,1147987.00,1666715994.4415305
119,1147997.00,1666715994.4544966
120,1148012.00,1666715994.466465
121,1147996.00,1666715994.4794543
122,1147988.00,1666715994.4913974
123,1147974.00,1666715994.5043626
124,1147973.00,1666715994.5163312
125,1148096.00,1666715994.529296
126,1148108.00,1666715994.5412867
127,1148132.00,1666715994.5542605
128,1148154.00,1666715994.5662937
129,1148166.00,1666715994.57931
130,1148163.00,1666715994.5913222
131,1148187.00,1666715994.6042962
132,1148200.00,1666715994.616416
133,1148217.00,1666715994.6294007
134,1148520.00,1666715994.641928
135,1148527.00,1666715994.6544871
136,1148544.00,1666715994.6668475
137,1148546.00,1666715994.6788538
138,1148563.00,1666715994.690984
139,1148560.00,1666715994.7045228
140,1148569.00,1666715994.7168367
141,1148551.00,1666715994.729478
142,1149018.00,1666715994.7412877
143,1149038.00,1666715994.7542233
144,1149059.00,1666715994.766334
145,1149070.00,1666715994.7795088
146,1149098.00,1666715994.7919576
147,1149118.00,1666715994.8036618
148,1149146.00,1666715994.8167362
149,1149793.00,1666715994.8288014
150,1149795.00,1666715994.8420303
151,1149836.00,1666715994.854033
152,1149852.00,1666715994.867014
153,1149878.00,1666715994.8795063
154,1149884.00,1666715994.8915164
155,1149923.00,1666715994.9045134
156,1149934.00,1666715994.916924
157,1150171.00,1666715994.9295285
158,1150133.00,1666715994.941973
159,1150171.00,1666715994.95394
160,1150167.00,1666715994.96658
161,1150177.00,1666715994.9795332
162,1150176.00,1666715994.9915073
163,1150184.00,1666715995.0046163
164,1150181.00,1666715995.0165253
165,1148528.00,1666715995.0295045
166,1148465.00,1666715995.041457
167,1148409.00,1666715995.0545273
168,1148357.00,1666715995.066696
169,1148306.00,1666715995.07882
170,1148217.00,1666715995.0919414
171,1148188.00,1666715995.1045463
172,1148137.00,1666715995.1168563
173,1148092.00,1666715995.1289701
174,1147309.00,1666715995.141964
175,1147269.00,1666715995.1545
176,1147274.00,1666715995.1660545
177,1147262.00,1666715995.1790347
178,1147243.00,1666715995.1914656
179,1147229.00,1666715995.2044554
180,1147194.00,1666715995.216747
181,1147006.00,1666715995.228751
182,1147012.00,1666715995.2417142
183,1147021.00,1666715995.2536595
184,1147027.00,1666715995.266655
185,1147040.00,1666715995.2786176
186,1147056.00,1666715995.2915838
187,1147071.00,1666715995.3035505
188,1147092.00,1666715995.3165162
189,1147388.00,1666715995.3294883
190,1147414.00,1666715995.3414164
191,1147411.00,1666715995.354414
192,1147402.00,1666715995.3663504
193,1147405.00,1666715995.3793478
194,1147386.00,1666715995.3913164
195,1147415.00,1666715995.4044306
196,1147416.00,1666715995.4163988
197,1147625.00,1666715995.4294937
198,1147604.00,1666715995.4419732
199,1147643.00,1666715995.4545147
200,1147655.00,1666715995.4662402
201,1147653.00,1666715995.4793677
202,1147679.00,1666715995.4919395
203,1147689.00,1666715995.5045185
204,1147697.00,1666715995.5164225
205,1148115.00,1666715995.5295074
206,1148081.00,1666715995.5419288
207,1148116.00,1666715995.553913
208,1148125.00,1666715995.566964
209,1148121.00,1666715995.5793993
210,1148119.00,1666715995.5919805
211,1148134.00,1666715995.604352
212,1148125.00,1666715995.616318
213,1148137.00,1666715995.629398
214,1148220.00,1666715995.6419861
215,1148226.00,1666715995.6545227
216,1148239.00,1666715995.6667504
217,1148244.00,1666715995.6793454
218,1148255.00,1666715995.6914492
219,1148240.00,1666715995.7045956
220,1148242.00,1666715995.716911
221,1148259.00,1666715995.7294888
222,1148534.00,1666715995.741894
223,1148546.00,1666715995.7545846
224,1148546.00,1666715995.767011
225,1148530.00,1666715995.7787526
226,1148533.00,1666715995.7917044
227,1148524.00,1666715995.8046231
228,1148534.00,1666715995.8168046
229,1149054.00,1666715995.828759
230,1149072.00,1666715995.8417056
231,1149110.00,1666715995.8538322
232,1149138.00,1666715995.8667328
233,1149148.00,1666715995.8789754
234,1149157.00,1666715995.891914
235,1149180.00,1666715995.9043603
236,1149201.00,1666715995.9168234
237,1149351.00,1666715995.929589
238,1149335.00,1666715995.9419153
239,1149354.00,1666715995.9537
240,1149359.00,1666715995.9668863
241,1149355.00,1666715995.9794915
242,1149355.00,1666715995.9919262
243,1149369.00,1666715996.0044277
244,1149364.00,1666715996.016717
245,1149358.00,1666715996.028817
246,1147342.00,1666715996.0419517
247,1147309.00,1666715996.0538938
248,1147255.00,1666715996.0658915
249,1147202.00,1666715996.078766
250,1147162.00,1666715996.0919967
251,1147107.00,1666715996.1044881
252,1147059.00,1666715996.116163
253,1147022.00,1666715996.1292334
254,1145950.00,1666715996.1413167
255,1145931.00,1666715996.1544368
256,1145914.00,1666715996.166492
257,1145884.00,1666715996.1795323
258,1145859.00,1666715996.1916916
259,1145829.00,1666715996.2036562
260,1145824.00,1666715996.2166011
261,1145331.00,1666715996.2290053
262,1145305.00,1666715996.2419567
263,1145299.00,1666715996.2544224
264,1145303.00,1666715996.266849
265,1145297.00,1666715996.278848
266,1145707.00,1666715996.2919757
267,1145280.00,1666715996.3045964
268,1145294.00,1666715996.3161805
269,1145715.00,1666715996.3292012
270,1145732.00,1666715996.3419647
271,1145758.00,1666715996.354433
272,1145783.00,1666715996.3660257
273,1145806.00,1666715996.379303
274,1145816.00,1666715996.3913817
275,1145840.00,1666715996.4037268
276,1145859.00,1666715996.4169228
277,1146392.00,1666715996.4293835
278,1146428.00,1666715996.4412475
279,1146438.00,1666715996.4544754
280,1146461.00,1666715996.4662063
281,1146489.00,1666715996.4793813
282,1146472.00,1666715996.4918876
283,1146517.00,1666715996.5041046
284,1146534.00,1666715996.5160744
285,1146557.00,1666715996.5291579
286,1147042.00,1666715996.5419211
287,1147059.00,1666715996.554556
288,1147077.00,1666715996.5669458
289,1147100.00,1666715996.5794065
290,1147120.00,1666715996.5919106
291,1147151.00,1666715996.6039069
292,1147167.00,1666715996.6169112
293,1147693.00,1666715996.6291287
294,1147686.00,1666715996.641961
295,1147712.00,1666715996.6539147
296,1147726.00,1666715996.666038
297,1147750.00,1666715996.6788497
298,1147774.00,1666715996.6918876
299,1147777.00,1666715996.7043788
