,RAW_DATA
0,Sensor initialized
894,882579.00
895,882599.00
896,882605.00
897,882604.00
898,882579.00
899,882591.00
900,882572.00
901,882578.00
902,882572.00
903,882546.00
904,882359.00
905,882374.00
906,882373.00
907,882357.00
908,882373.00
909,882381.00
910,882380.00
911,882396.00
912,882389.00
913,882510.00
914,882512.00
915,882527.00
916,882516.00
917,882517.00
918,882516.00
919,882518.00
920,882543.00
921,882523.00
922,882530.00
923,882515.00
924,882521.00
925,882532.00
926,882529.00
927,882533.00
928,882530.00
929,882522.00
930,882518.00
931,882542.00
932,882540.00
933,882510.00
934,882532.00
935,882539.00
936,882542.00
937,882562.00
938,882563.00
939,882548.00
940,882589.00
941,882600.00
942,882573.00
943,882596.00
944,882613.00
945,882597.00
946,882614.00
947,882618.00
948,882614.00
949,882567.00
950,882556.00
951,882523.00
952,882526.00
953,882506.00
954,882493.00
955,882488.00
956,882472.00
957,882471.00
958,882402.00
959,882422.00
960,882399.00
961,882425.00
962,882427.00
963,882445.00
964,882433.00
965,882426.00
966,882440.00
967,882550.00
968,882547.00
969,882431.00
970,882544.00
971,882546.00
972,882542.00
973,882553.00
974,882537.00
975,882544.00
976,882507.00
977,882508.00
978,882515.00
979,882508.00
980,882508.00
981,882517.00
982,882515.00
983,882504.00
984,882515.00
985,882538.00
986,882534.00
987,882544.00
988,882544.00
989,882541.00
990,882542.00
991,882553.00
992,882534.00
993,882547.00
994,882582.00
995,882573.00
996,882587.00
997,882578.00
998,882578.00
999,882586.00
1000,882587.00
1001,882577.00
1002,882595.00
1003,882384.00
1004,882375.00
1005,882376.00
1006,882367.00
1007,882361.00
1008,882350.00
1009,882341.00
1010,882353.00
1011,882343.00
1012,882435.00
1013,882424.00
1014,882431.00
1015,882440.00
1016,882432.00
1017,882442.00
1018,882446.00
1019,882453.00
1020,882452.00
1021,882516.00
1022,882529.00
1023,882516.00
1024,882514.00
1025,882526.00
1026,882506.00
1027,882524.00
1028,882523.00
1029,882522.00
1030,882470.00
1031,882478.00
1032,882473.00
1033,882478.00
